"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated"
"PDK2",0.14822070471331,13.3920628877572,0.942605893613731,0.350686925191961,0.653965333330157,-5.72174151661961,0.856145658235662,"PDK2",0.439477885063292,0.99999999892378,0.455080425800378,"no"
"AFG3L2",0.148192631108161,14.3860841761196,2.28269228486984,0.0270014656482006,0.182735271041695,-3.74557129103872,0.585521925710384,"AFG3L2",0.122801785279539,0.99999999892378,1.56861266155767,"no"
"TRAP1",0.147409291550474,13.6403075138591,1.81735327467209,0.0755202950347465,0.317383397354481,-4.59600112377728,0.683307459133127,"TRAP1",0.213288040075867,0.99999999892378,1.12193632205066,"no"
"NOL3",0.147354854715589,14.7652013043951,1.57576417802618,0.121766163139283,0.395045135656474,-4.97179353749624,0.733242970557475,"NOL3",0.265478293533947,0.99999999892378,0.914473378398382,"no"
"TYMP",0.147324846673477,10.757964753585,1.10780986179381,0.273683773776209,0.584466903553193,-5.55166395916503,0.826214480936078,"TYMP",0.392773539470435,0.99999999892378,0.562750950373403,"no"
"CALU",0.147228554509233,15.3588271524195,2.10202224222407,0.0409190480272568,0.231243062005653,-4.09467095295774,0.624648643174607,"CALU",0.15539999851108,0.99999999892378,1.38807447860891,"no"
"IDI2",0.147094953110837,15.1485486275649,0.392771872387336,0.696296172032098,0.88135809567507,-6.06688531447027,0.948147254712476,"IDI2",0.592290404597245,0.99999999892378,0.15720599240148,"no"
"MCCC1",0.147070019151586,12.2532831986901,1.07582191238083,0.287598506074142,0.596937719950864,-5.58319191232065,0.832537373739945,"MCCC1",0.40115417944649,0.99999999892378,0.541213374219064,"no"
"PFN1",0.147038672757418,15.5101995643417,1.35495822883876,0.181886794551213,0.490532861263936,-5.27306991638697,0.778327089724235,"PFN1",0.329647969754819,0.99999999892378,0.74019883068761,"no"
"ATPAF2",0.147000760514141,11.3169119822236,1.23886010103096,0.221942697033323,0.536346014708356,-5.38590739517785,0.801487787215804,"ATPAF2",0.360435332261188,0.99999999892378,0.653759140750396,"no"
"NIPSNAP3A",0.146894570567348,11.6995095408097,1.54395827837561,0.129578509381224,0.409172883402046,-5.00055261871987,0.740689031011015,"NIPSNAP3A",0.274972424772241,0.99999999892378,0.887467020310068,"no"
"IAH1",0.146595412655026,12.9063607620355,1.38121303807025,0.173724003193381,0.47699647733954,-5.23942002993157,0.773689918527905,"IAH1",0.320551246923649,0.99999999892378,0.760140171568824,"no"
"GYS1",0.146542180855173,16.0277303533769,2.43168056301888,0.0188809805422887,0.152049907551447,-3.44064798594599,0.55893959645164,"GYS1",0.102180602532097,0.99999999892378,1.72397545532146,"no"
"XRCC5",0.146436314085593,12.1911939779569,1.71504543907441,0.0929023640643237,0.351260861038346,-4.76087974228633,0.706125090341805,"XRCC5",0.236054378492122,0.99999999892378,1.03197323447754,"no"
"NDUFV3",0.146374275014246,14.8839336416361,0.767631671291586,0.446532940746487,0.731451402370523,-5.86538340277331,0.888684407449059,"NDUFV3",0.49155008523684,0.99999999892378,0.350146497678594,"no"
"MIX23",0.146244397842372,12.5649572049046,1.69216715798833,0.0972128021728124,0.357936792674608,-4.79660685973202,0.711148383580649,"MIX23",0.240540739109115,0.99999999892378,1.01227653808922,"no"
"FN1",0.146232708026943,12.7681267072624,1.26866690463846,0.210787060741322,0.525691259616982,-5.3794560629125,0.796386463364319,"FN1",0.353275122086775,0.99999999892378,0.676156052003687,"no"
"EIF3M",0.146183797761816,13.1644064247768,1.78377553361278,0.0808960753383506,0.327560934270316,-4.65102961305646,0.692399407483424,"EIF3M",0.220127550017698,0.99999999892378,1.09207254761199,"no"
"MYOZ2",0.145709245775679,13.9595268599689,0.191492834799464,0.848961675670469,0.945002513883383,-6.13312161636513,0.976423754850632,"MYOZ2",0.635060736424837,0.99999999892378,0.0711119144916306,"no"
"EEF1B2",0.145572227386856,14.6434156677269,1.93316809269558,0.0592323142363416,0.275812903948049,-4.39945868465175,0.662702541487842,"EEF1B2",0.185351830628396,0.99999999892378,1.22744129892349,"no"
"HMOX1",0.145256077863822,10.6807167580575,1.01182942072802,0.319413712956256,0.62559085220984,-5.34816431114524,0.847235884045685,"HMOX1",0.420409661845672,0.99999999892378,0.495646442820605,"no"
