"","protein","cor","p_value"
"NDUFB1","NDUFB1",0.0772440596761163,0.618220250782509
"PMPCB","PMPCB",0.162807537066538,0.291005508257454
"ERN1","ERN1",-0.0616644129856084,0.690896464212455
"GPC4","GPC4",-0.0746386945108038,0.728878676876362
"NDUFS3","NDUFS3",-0.0140958121171863,0.927640598606194
"HSBP1","HSBP1",-0.254646727635301,0.159576173118481
"ECI2","ECI2",-0.0616918965028447,0.690765562192285
"BANF1","BANF1",-0.0557124011675822,0.71944952005836
"SF3B1","SF3B1",-0.00491994994967883,0.974714562637129
"CSDE1","CSDE1",0.098819190939058,0.523352084384855
"PRKRA","PRKRA",-0.259249280240984,0.0892532987674909
"RPS6KA5","RPS6KA5",0.22446544598262,0.142965246912067
"LYPLA1","LYPLA1",0.18150572791474,0.238343466353507
"CREG1","CREG1",0.00729358651342627,0.962976701941939
"SNRNP200","SNRNP200",0.169681893539747,0.288867703198272
"TIPRL","TIPRL",0.0595597302279581,0.700947123638713
"PPM1B","PPM1B",-0.0710330513730965,0.646812340010447
"NUP155","NUP155",0.0666399457177222,0.703683757279532
"SLC25A12","SLC25A12",0.205042169038448,0.181818188700681
"TCEA3","TCEA3",0.0823018346008292,0.608958391680534
"CDC123","CDC123",0.0781614090366394,0.622711646225172
"EIF3G","EIF3G",0.123582138415553,0.424161400644008
"EIF3J","EIF3J",0.0366796313498556,0.813137608650621
"PSMD10","PSMD10",-0.0919290397596056,0.552851656740164
"IDH1","IDH1",-0.112907115307331,0.465562207717375
"SCO1","SCO1",0.00684071864387787,0.964848317142361
"ATRN","ATRN",0.16307751940487,0.327943159947643
"ALDH1L1","ALDH1L1",0.0751325331703553,0.627880945762398
"ARL6IP5","ARL6IP5",0.0541071540052158,0.72721720988804
"DYSF","DYSF",-0.0637010897066843,0.681220278108392
"ATP5PD","ATP5PD",-0.0345599535238036,0.823759925023784
"FLOT1","FLOT1",0.0443223098529945,0.775125116735529
"ATP5MG","ATP5MG",-0.0614053511972391,0.692130794177785
"MPDZ","MPDZ",-0.1591567445706,0.320252840999537
"GLRX3","GLRX3",0.103027354978784,0.5057266102086
"DDAH1","DDAH1",0.0196143872390483,0.899436186695677
